GEOID,Civilian_EST,Tot1,Veteran_EST,Tot2
6037124300,2858,2913,55,2913
6037124400,3556,3656,100,3656
6037124500,2300,2425,125,2425
6037124600,2734,2827,93,2827
6037124700,4571,4699,128,4699
6037124902,2320,2390,70,2390
6037124903,3233,3353,120,3353
6037125100,5231,5415,184,5415
6037125200,2913,3009,96,3009
6037125310,4336,4396,60,4396
6037125320,5008,5167,159,5167
6037125401,4126,4192,66,4192
6037125402,3703,3819,116,3819
6037125501,2887,3092,205,3092
6037125502,3049,3149,100,3149
6037125600,2104,2164,60,2164
6037127102,4479,4591,112,4591
6037127103,2319,2368,49,2368
6037127104,2744,2824,80,2824
6037127210,4333,4472,139,4472
6037127220,3690,3741,51,3741
6037127300,3751,3865,114,3865
6037127400,4803,4892,89,4892
6037127520,3170,3215,45,3215
6037127603,1970,2005,35,2005
6037127604,2482,2531,49,2531
6037127605,3069,3121,52,3121
6037127606,2640,2733,93,2733
6037127711,2676,2750,74,2750
6037127712,2387,2454,67,2454
6037127803,3246,3307,61,3307
6037127804,3355,3439,84,3439
6037127805,3056,3066,10,3066
6037127806,2370,2406,36,2406
6037127910,3911,3984,73,3984
6037127920,3314,3386,72,3386
6037128101,2942,2995,53,2995
6037128102,3770,3854,84,3854
6037128210,3619,3663,44,3663
6037128220,2465,2509,44,2509
6037128302,3562,3617,55,3617
6037128303,2621,2676,55,2676
6037128400,3245,3347,102,3347
6037128500,3655,3846,191,3846
6037128601,3421,3515,94,3515
6037128602,2893,2990,97,2990
6037128702,4869,4979,110,4979
6037128801,2887,3018,131,3018
6037128802,4009,4162,153,4162
6037128910,3572,3716,144,3716
6037131010,4863,4945,82,4945
6037131020,4742,4859,117,4859
6037131100,2598,2701,103,2701
6037131200,2653,2813,160,2813
6037131300,4064,4166,102,4166
6037131400,4900,5068,168,5068
6037131600,3968,4123,155,4123
6037131701,3753,3857,104,3857
6037131702,2965,3143,178,3143
6037131800,4803,4957,154,4957
6037131900,3613,3788,175,3788
6037132001,2519,2647,128,2647
6037132002,2570,2704,134,2704
6037132101,3736,3898,162,3898
6037132102,4387,4627,240,4627
6037132300,5704,5861,157,5861
6037132501,3604,3707,103,3707
6037132502,3014,3099,85,3099
6037132700,3828,4070,242,4070
6037132900,3063,3180,117,3180
6037133000,3468,3667,199,3667
6037133100,4677,4857,180,4857
6037134001,2895,2915,20,2915
6037134002,3229,3308,79,3308
6037134101,4510,4668,158,4668
6037134103,3582,3750,168,3750
6037134104,3437,3565,128,3565
6037134201,3556,3680,124,3680
6037134302,3027,3160,133,3160
6037134303,5046,5172,126,5172
6037134304,2321,2430,109,2430
6037134305,3161,3183,22,3183
6037134306,3101,3203,102,3203
6037134421,2980,3068,88,3068
6037134422,3867,4095,228,4095
6037134423,2956,3162,206,3162
6037134424,2275,2388,113,2388
6037134520,4473,4510,37,4510
6037134521,2391,2400,9,2400
6037134522,2686,2763,77,2763
6037134710,4278,4368,90,4368
6037134720,3696,3776,80,3776
6037134800,5122,5246,124,5246
6037134901,2290,2393,103,2393
6037134903,4863,4935,72,4935
6037134904,3636,3714,78,3714
6037134905,3636,3684,48,3684
6037135102,3249,3468,219,3468
6037135111,2562,2639,77,2639
6037135113,2473,2604,131,2604
6037135114,4188,4365,177,4365
6037135201,2139,2240,101,2240
6037135202,3461,3558,97,3558
6037135203,5850,5992,142,5992
6037137000,3962,4116,154,4116
6037137103,4266,4492,226,4492
6037137104,2262,2362,100,2362
6037137201,4722,5069,347,5069
6037137301,1813,1905,92,1905
6037137302,3681,3881,200,3881
6037137401,3318,3479,161,3479
6037137402,3980,4399,419,4399
6037137501,3614,3777,163,3777
6037137502,3561,3815,254,3815
6037137504,1639,1716,77,1716
6037138000,3791,3973,182,3973
6037139001,4248,4390,142,4390
6037139200,4566,4673,107,4673
6037139301,3792,3920,128,3920
6037139302,4163,4359,196,4359
6037139303,3628,3711,83,3711
6037139401,2315,2499,184,2499
6037139402,2020,2083,63,2083
6037139502,2534,2598,64,2598
6037139503,4932,5057,125,5057
6037139504,3539,3592,53,3592
6037139600,4101,4222,121,4222
6037139701,4472,4785,313,4785
6037139702,4505,4674,169,4674
6037139703,2254,2348,94,2348
6037139801,2666,2812,146,2812
6037139802,3294,3412,118,3412
6037141101,4016,4141,125,4141
6037141102,2533,2627,94,2627
6037141201,3732,3823,91,3823
6037141202,2317,2389,72,2389
6037141302,5234,5433,199,5433
6037141303,2913,3017,104,3017
6037141304,2387,2449,62,2449
6037141400,3912,4088,176,4088
6037141500,2244,2379,135,2379
6037141600,3395,3505,110,3505
6037141700,2504,2643,139,2643
6037143100,3840,4162,322,4162
6037143200,3696,3802,106,3802
6037143300,5793,5951,158,5951
6037143400,5397,5628,231,5628
6037143500,3848,3914,66,3914
6037143602,3798,3998,200,3998
6037143603,2078,2168,90,2168
6037143604,3105,3214,109,3214
6037143700,3438,3519,81,3519
6037143800,4538,4734,196,4734
6037143901,3235,3324,89,3324
6037143902,2493,2542,49,2542
6037181000,5132,5428,296,5428
6037181300,3364,3487,123,3487
6037181400,3723,3843,120,3843
6037181500,3143,3290,147,3290
6037181600,3974,4063,89,4063
6037183101,2893,3001,108,3001
6037183103,3462,3580,118,3580
6037183104,1848,1971,123,1971
6037183220,3158,3246,88,3246
6037183221,2510,2551,41,2551
6037183222,2882,3021,139,3021
6037183300,2746,2818,72,2818
6037183401,1883,1958,75,1958
6037183402,2544,2563,19,2563
6037183510,2134,2212,78,2212
6037183520,2833,2864,31,2864
6037183610,2626,2694,68,2694
6037183620,2320,2374,54,2374
6037183701,3111,3199,88,3199
6037183702,2322,2445,123,2445
6037183810,3291,3356,65,3356
6037183820,2753,2827,74,2827
6037185100,5266,5449,183,5449
6037185202,3360,3489,129,3489
6037185203,2769,2799,30,2799
6037185204,1625,1739,114,1739
6037185310,2457,2495,38,2495
6037185320,2357,2373,16,2373
6037186100,4142,4276,134,4276
6037186201,2801,2918,117,2918
6037186202,1674,1731,57,1731
6037186203,2392,2502,110,2502
6037186301,2350,2370,20,2370
6037186302,4287,4376,89,4376
6037186401,2616,2637,21,2637
6037186403,2281,2373,92,2373
6037186404,2170,2196,26,2196
6037187101,2752,2789,37,2789
6037187102,2679,2713,34,2713
6037187200,2366,2392,26,2392
6037187300,2843,2881,38,2881
6037188100,3524,3566,42,3566
6037188201,3053,3135,82,3135
6037188202,2099,2130,31,2130
6037188300,3101,3161,60,3161
6037189101,2215,2326,111,2326
6037189102,2822,2860,38,2860
6037189201,3282,3356,74,3356
6037189202,2048,2122,74,2122
6037189300,2532,2613,81,2613
6037189400,3057,3192,135,3192
6037189500,3786,3902,116,3902
6037189600,3327,3455,128,3455
6037189701,3182,3296,114,3296
6037189702,1832,1893,61,1893
6037189800,3640,3677,37,3677
6037189902,5088,5187,99,5187
6037189903,2107,2165,58,2165
6037189904,2375,2402,27,2402
6037189905,2118,2134,16,2134
6037190100,4439,4465,26,4465
6037190201,2288,2364,76,2364
6037190202,3237,3287,50,3287
6037190301,5475,5656,181,5656
6037190401,2871,2903,32,2903
6037190402,2309,2412,103,2412
6037190510,3776,3840,64,3840
6037190520,3257,3316,59,3316
6037190700,2811,2891,80,2891
6037190801,2373,2427,54,2427
6037190802,2541,2566,25,2566
6037190901,3671,3733,62,3733
6037190902,3275,3354,79,3354
6037191000,3722,3803,81,3803
6037191110,3557,3607,50,3607
6037191120,3649,3755,106,3755
6037191201,3899,4005,106,4005
6037191203,2150,2167,17,2167
6037191204,1815,1830,15,1830
6037191301,2115,2133,18,2133
6037191302,1887,1931,44,1931
6037191410,3711,3781,70,3781
6037191420,3010,3165,155,3165
6037191500,4758,4846,88,4846
6037191610,3292,3313,21,3313
6037191620,2382,2408,26,2408
6037191710,2239,2283,44,2283
6037191720,2735,2744,9,2744
6037191810,2975,2994,19,2994
6037191820,2634,2687,53,2687
6037191901,2873,2979,106,2979
6037191902,2144,2204,60,2204
6037192001,2172,2232,60,2232
6037192002,2402,2447,45,2447
6037192300,2127,2222,95,2222
6037192410,3345,3447,102,3447
6037192420,3486,3494,8,3494
6037192510,3020,3036,16,3036
6037192520,3653,3706,53,3706
6037192610,3507,3586,79,3586
6037192620,2828,2836,8,2836
6037192700,3280,3369,89,3369
6037194101,3029,3100,71,3100
6037194102,2949,3084,135,3084
6037194200,3026,3135,109,3135
6037194300,3019,3085,66,3085
6037194401,2293,2331,38,2331
6037194402,3481,3516,35,3516
6037194500,1670,1711,41,1711
6037195100,4116,4278,162,4278
6037195201,2810,2887,77,2887
6037195202,2737,2824,87,2824
6037195300,3007,3089,82,3089
6037195400,4129,4258,129,4258
6037195500,4445,4494,49,4494
6037195600,2791,2826,35,2826
6037195710,3505,3573,68,3573
6037195720,1892,1916,24,1916
6037195802,2259,2304,45,2304
6037195803,2405,2441,36,2441
6037195804,2158,2158,0,2158
6037195901,1894,1936,42,1936
6037195902,1695,1733,38,1733
