GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037920303,1334,133,15,146,1.1,1.2
6037104703,1499,204,16,11,1.1,1.1
6037104821,2509,196,16,12,0.6,0.6
6037123204,2401,196,16,18,0.7,0.7
6037185320,2357,230,16,28,0.7,0.6
6037189905,2118,193,16,29,0.8,0.8
6037192510,3020,271,16,31,0.5,0.6
6037221110,2855,373,16,38,0.6,0.7
6037228310,3182,246,16,39,0.5,0.4
6037240010,2524,295,16,42,0.6,0.7
6037434003,3441,361,16,59,0.5,0.6
6037530700,1757,151,16,67,0.9,0.8
6037533104,2868,364,16,69,0.6,0.9
6037534102,4363,303,16,70,0.4,0.5
6037542601,2002,187,16,74,0.8,1.1
6037910403,1228,127,16,121,1.3,1.2
6037117407,2458,194,17,15,0.7,0.6
6037191203,2150,173,17,30,0.8,1
6037213202,3081,241,17,36,0.6,0.6
6037239202,3676,419,17,42,0.5,0.7
6037265410,1169,128,17,44,1.5,1.2
6037402501,3950,323,17,52,0.4,0.4
6037533401,3902,261,17,69,0.4,0.5
6037534301,3162,262,17,70,0.5,0.6
6037535501,2653,204,17,71,0.6,0.7
6037543202,3349,397,17,74,0.5,0.8
6037104822,1957,237,18,12,0.9,0.8
6037117520,2797,248,18,16,0.6,0.9
6037191301,2115,191,18,30,0.9,0.8
6037212202,2810,237,18,35,0.6,0.7
6037214400,2654,204,18,36,0.7,0.7
6037224320,2412,245,18,39,0.7,1.2
6037224700,6392,457,18,39,0.3,0.3
6037231900,3717,405,18,40,0.5,0.8
6037239501,2698,223,18,42,0.7,0.6
6037294830,2558,182,18,47,0.7,0.8
6037434004,2078,241,18,59,0.9,0.8
6037541400,4911,603,18,73,0.4,0.5
6037575300,3286,326,18,84,0.5,0.7
6037183402,2544,271,19,28,0.7,0.7
6037191810,2975,379,19,30,0.6,0.7
6037203710,2528,232,19,33,0.8,0.7
6037237500,2005,210,19,41,0.9,0.7
6037241110,2311,252,19,42,0.8,0.8
6037533201,1999,165,19,69,1,1
6037533702,2670,205,19,69,0.7,0.6
6037534405,2713,201,19,70,0.7,0.8
6037540502,4301,408,19,72,0.4,0.6
6037542106,2425,251,19,73,0.8,0.8
6037553701,2901,213,19,78,0.7,0.5
6037119342,2221,143,20,16,0.9,0.8
6037134001,2895,299,20,24,0.7,0.8
6037186301,2350,234,20,28,0.9,0.8
6037204700,3894,436,20,33,0.5,0.6
6037241300,1855,225,20,42,1.1,0.9
6037433504,3427,424,20,59,0.6,0.8
6037533403,2187,177,20,69,0.9,1.1
6037186401,2616,225,21,28,0.8,0.6
6037191610,3292,334,21,30,0.6,0.9
6037201503,2346,177,21,33,0.9,0.9
6037211310,3419,390,21,35,0.6,0.7
6037232110,2154,211,21,40,1,0.9
6037239801,2166,259,21,42,1,0.9
6037531302,4864,544,21,67,0.4,0.5
6037533300,2241,194,21,69,0.9,1
6037534001,3595,295,21,70,0.6,0.9
6037535503,1764,163,21,71,1.2,1.2
6037535605,3327,327,21,71,0.6,0.6
6037134305,3161,267,22,24,0.7,0.8
6037204110,2418,301,22,33,0.9,1.1
6037204810,3815,388,22,33,0.6,0.6
6037208502,2843,224,22,34,0.8,0.8
6037211704,2489,177,22,35,0.9,0.8
6037213201,3442,295,22,36,0.6,0.8
6037240600,4140,438,22,42,0.5,0.5
6037462202,2352,337,22,60,0.9,0.9
6037481714,2302,204,22,62,1,0.7
6037534203,2398,180,22,70,0.9,0.8
6037104610,2613,225,23,11,0.9,0.9
6037121222,3769,342,23,17,0.6,0.6
6037197420,3020,281,23,32,0.8,0.8
6037208501,1810,196,23,34,1.3,1.2
6037224420,1940,210,23,39,1.2,1.1
6037533503,1527,131,23,69,1.5,2.3
6037540400,1652,177,23,72,1.4,1.4
6037540901,3488,347,23,72,0.7,0.8
6037553801,3145,310,23,78,0.7,0.9
6037106408,2440,214,24,12,1,1
6037120030,1833,198,24,17,1.3,1
6037195720,1892,192,24,31,1.3,1.1
6037210010,2862,305,24,34,0.8,0.8
