GEOID,Veteran_Percent_EST
6037183220,2.8
6037183221,1.6
6037183222,4.8
6037183300,2.6
6037183401,4
6037183402,0.7
6037183510,3.7
6037183520,1.1
6037183610,2.6
6037183620,2.3
6037183701,2.8
6037183702,5.3
6037183810,2
6037183820,2.7
6037185100,3.5
6037185202,3.8
6037185203,1.1
6037185204,7
6037185310,1.5
6037185320,0.7
6037186100,3.2
6037186201,4.2
6037186202,3.4
6037186203,4.6
6037186301,0.9
6037186302,2.1
6037186401,0.8
6037186403,4
6037186404,1.2
6037187101,1.3
6037187102,1.3
6037187200,1.1
6037187300,1.3
6037188100,1.2
6037188201,2.7
6037188202,1.5
6037188300,1.9
6037189101,5
6037189102,1.3
6037189201,2.3
6037189202,3.6
6037189300,3.2
6037189400,4.4
6037189500,3.1
6037189600,3.8
6037189701,3.6
6037189702,3.3
6037189800,1
6037189902,1.9
6037189903,2.8
6037189904,1.1
6037189905,0.8
6037190100,0.6
6037190201,3.3
6037190202,1.5
6037190301,3.3
6037190401,1.1
6037190402,4.5
6037190510,1.7
6037190520,1.8
6037190700,2.8
6037190801,2.3
6037190802,1
6037190901,1.7
6037190902,2.4
6037191000,2.2
6037191110,1.4
6037191120,2.9
6037191201,2.7
6037191203,0.8
6037191204,0.8
6037191301,0.9
6037191302,2.3
6037191410,1.9
6037191420,5.1
6037191500,1.8
6037191610,0.6
6037191620,1.1
6037191710,2
6037191720,0.3
6037191810,0.6
6037191820,2
6037191901,3.7
6037191902,2.8
6037192001,2.8
6037192002,1.9
6037192300,4.5
6037192410,3
6037192420,0.2
6037192510,0.5
6037192520,1.5
6037192610,2.3
6037192620,0.3
6037192700,2.7
6037194101,2.3
6037194102,4.6
6037194200,3.6
6037194300,2.2
6037194401,1.7
6037194402,1
6037194500,2.5
6037195100,3.9
6037195201,2.7
6037195202,3.2
6037195300,2.7
6037195400,3.1
6037195500,1.1
6037195600,1.3
6037195710,1.9
6037195720,1.3
6037195802,2
6037195803,1.5
6037195804,0
6037195901,2.2
6037195902,2.2
6037195903,0.7
6037197200,3
6037197300,2.2
6037197410,3.2
6037197420,0.8
6037197500,1.5
6037197600,1.7
6037197700,0.2
6037199000,1.2
6037199110,4.2
6037199120,1.8
6037199201,2.8
6037199202,3.3
6037199300,3
6037199400,1.5
6037199700,2.3
6037199800,0.3
6037199900,1.4
6037201110,4.3
6037201120,2
6037201200,1.9
6037201301,2.7
6037201302,2.6
6037201401,1.4
6037201402,2.5
6037201501,2.1
6037201503,0.9
6037201504,3.3
6037201601,5
6037201602,3
6037201700,1.8
6037203100,1.4
6037203200,2
6037203300,1.1
6037203500,1.9
6037203600,1
6037203710,0.8
6037203720,2.4
6037203800,3.2
6037203900,2.1
6037204110,0.9
6037204120,2.8
6037204200,0.3
6037204300,1.4
6037204410,2
6037204420,2.5
6037204600,1.9
6037204700,0.5
6037204810,0.6
6037204820,2.8
6037204910,1.3
6037204920,1.6
6037205110,0.4
6037205120,0.5
6037206010,1.3
6037206020,4
6037206031,3.5
6037206032,0.2
6037206050,4.1
6037206200,3.2
6037206300,10.5
6037207101,1.7
6037207102,2.6
6037207103,1.8
6037207301,3.6
6037207302,4
6037207400,1.1
6037207501,3.9
6037207502,3.3
6037207710,2.7
6037207900,1.6
6037208000,0.9
6037208301,0.7
6037208302,0.1
6037208401,2.4
6037208402,1.2
6037208501,1.3
6037208502,0.8
6037208610,2.3
6037208620,1.3
6037208710,1.4
6037208720,1.5
6037208801,0.3
6037208802,2.6
6037208902,0
6037208903,1.8
6037208904,1.1
6037209102,1.8
6037209103,0.4
6037209104,0.6
