GEO_id2,Veteran_MOE
6037101110,0
6037101122,0
6037101210,0
6037101220,0
6037101300,0
6037101400,0
6037102103,0
6037102104,0
6037102105,0
6037102107,0
6037103101,0
6037103102,0
6037103200,0
6037103300,0
6037103400,0
6037104103,0
6037104105,0
6037104108,0
6037104124,0
6037104201,0
6037104203,0
6037104204,0
6037104310,0
6037104320,0
6037104401,0
6037104403,0
6037104404,0
6037104500,0
6037104610,0
6037104620,0
6037104701,0
6037104703,0
6037104704,0
6037104810,0
6037104821,0
6037104822,0
6037106010,0
6037106020,0
6037106111,0
6037106112,0
6037106113,0
6037106114,0
6037106403,0
6037106405,0
6037106406,0
6037106407,0
6037106408,0
6037106510,0
6037106520,0
6037106603,0
6037106604,44
6037106641,39
6037106642,34
6037106643,39
6037106645,40
6037106646,46
6037106648,69
6037106649,69
6037107010,69
6037107020,69
6037108101,212
6037108102,36
6037108103,38
6037108104,39
6037108201,47
6037108202,51
6037109100,70
6037109200,84
6037109300,206
6037109400,17
6037109500,33
6037109601,56
6037109603,58
6037109604,70
6037109700,70
6037109800,72
6037111100,77
6037111201,39
6037111202,42
6037111204,87
6037111205,155
6037111206,17
6037111301,18
6037111302,30
6037111400,31
6037113101,32
6037113102,34
6037113211,35
6037113212,68
6037113213,69
6037113231,69
6037113232,70
6037113233,71
6037113234,24
6037113235,30
6037113237,35
6037113301,40
6037113303,42
6037113321,58
6037113322,58
6037113401,71
6037113421,78
6037113422,83
6037115101,175
6037115103,21
6037115104,33
6037115201,33
6037115202,58
6037115301,67
6037115302,67
6037115401,34
6037115403,34
6037115404,34
6037117101,36
6037117102,39
6037117201,42
6037117202,68
6037117301,69
6037117302,71
6037117303,158
6037117404,33
6037117405,34
6037117407,34
6037117408,39
6037117510,67
6037117520,69
6037117530,268
6037119001,12
6037119002,32
6037119201,32
6037119202,38
6037119310,39
6037119320,45
6037119340,67
6037119341,73
6037119342,10
6037119400,33
6037119700,38
6037119800,53
6037119900,69
6037120010,71
6037120020,73
6037120030,10
6037120103,30
6037120104,35
6037120105,41
6037120106,42
6037120107,67
6037120108,69
6037120300,70
6037120400,146
6037121010,11
6037121020,12
6037121101,18
6037121102,28
6037121210,29
6037121221,31
6037121222,38
6037121600,39
6037121801,42
6037121802,59
6037121900,67
6037122000,69
6037122120,70
6037122121,74
6037122122,121
6037122200,15
6037122410,30
6037122420,36
6037123010,42
6037123020,44
6037123103,52
6037123104,69
6037123203,70
6037123204,71
6037123205,74
6037123206,12
6037123301,16
6037123303,30
6037123304,35
6037123410,36
6037123420,39
6037123510,39
6037123520,40
6037123601,42
6037123602,47
6037123700,59
6037123800,73
6037123901,84
6037123902,28
6037124000,30
6037124102,33
6037124103,41
6037124104,42
6037124105,69
6037124201,69
6037124203,70
6037124204,72
6037124300,73
6037124400,78
6037124500,16
6037124600,24
6037124700,28
6037124902,33
6037124903,42
6037125100,59
6037125200,69
6037125310,28
6037125320,30
6037125401,33
6037125402,35
6037125501,40
6037125502,42
6037125600,67
6037127102,69
6037127103,70
6037127104,71
6037127210,71
6037127220,24
6037127300,33
6037127400,33
6037127520,34
6037127603,35
6037127604,36
6037127605,42
6037127606,60
6037127711,62
6037127712,70
6037127803,11
6037127804,17
6037127805,32
6037127806,34
6037127910,39
6037127920,69
6037128101,72
6037128102,72
6037128210,78
6037128220,12
6037128302,17
6037128303,31
6037128400,34
6037128500,39
6037128601,39
6037128602,40
6037128702,43
6037128801,67
6037128802,67
6037128910,71
6037131010,83
6037131020,89
6037131100,29
6037131200,35
6037131300,59
6037131400,67
6037131600,68
6037131701,88
6037131702,16
6037131800,19
6037131900,28
6037132001,28
6037132002,29
6037132101,30
6037132102,34
6037132300,38
6037132501,39
6037132502,42
6037132700,42
6037132900,53
6037133000,69
6037133100,70
6037134001,70
6037134002,70
6037134101,105
6037134103,17
6037134104,29
6037134201,34
6037134302,35
6037134303,38
6037134304,44
6037134305,45
6037134306,46
6037134421,58
6037134422,59
6037134423,62
6037134424,67
6037134520,69
6037134521,72
6037134522,108
6037134710,19
6037134720,32
6037134800,33
6037134901,35
6037134903,35
6037134904,36
6037134905,39
6037135102,41
6037135111,59
6037135113,69
6037135114,70
6037135201,78
6037135202,127
6037135203,16
6037137000,34
6037137103,46
6037137104,49
6037137201,49
6037137301,67
6037137302,68
6037137401,28
6037137402,33
6037137501,36
6037137502,36
6037137504,37
6037138000,40
6037139001,40
6037139200,44
6037139301,44
6037139302,53
6037139303,63
6037139401,69
6037139402,70
6037139502,71
6037139503,80
6037139504,84
6037139600,18
6037139701,28
6037139702,29
6037139703,36
6037139801,38
6037139802,38
6037141101,39
6037141102,41
6037141201,43
6037141202,46
6037141302,49
6037141303,87
6037141304,118
6037141400,20
6037141500,29
6037141600,39
6037141700,39
6037143100,49
6037143200,53
6037143300,63
6037143400,67
6037143500,70
6037143602,70
6037143603,12
6037143604,18
6037143700,36
6037143800,37
6037143901,38
6037143902,49
6037181000,70
6037181300,70
6037181400,71
6037181500,73
6037181600,81
6037183101,89
6037183103,11
6037183104,28
6037183220,32
6037183221,33
6037183222,34
6037183300,34
6037183401,34
6037183402,41
6037183510,44
6037183520,63
6037183610,68
6037183620,70
6037183701,89
6037183702,10
6037183810,14
6037183820,15
6037185100,21
6037185202,31
6037185203,31
6037185204,34
6037185310,35
6037185320,36
6037186100,37
6037186201,38
6037186202,39
6037186203,40
6037186301,42
6037186302,45
6037186401,47
6037186403,49
6037186404,49
6037187101,52
6037187102,71
6037187200,85
6037187300,108
6037188100,182
6037188201,21
6037188202,31
6037188300,32
6037189101,33
6037189102,35
6037189201,35
6037189202,36
6037189300,38
6037189400,39
6037189500,44
6037189600,50
6037189701,68
6037189702,11
6037189800,12
6037189902,17
6037189903,17
6037189904,19
6037189905,19
6037190100,24
6037190201,28
6037190202,29
6037190301,34
6037190401,35
6037190402,42
6037190510,56
6037190520,64
6037190700,69
6037190801,70
6037190802,78
6037190901,81
6037190902,84
6037191000,89
6037191110,28
6037191120,28
6037191201,29
6037191203,31
6037191204,32
6037191301,33
6037191302,34
6037191410,35
6037191420,36
6037191500,43
6037191610,47
6037191620,53
6037191710,53
6037191720,59
6037191810,67
6037191820,69
6037191901,71
6037191902,126
6037192001,16
6037192002,20
6037192300,38
6037192410,52
6037192420,73
6037192510,73
6037192520,80
6037192610,89
6037192620,109
6037192700,18
6037194101,34
6037194102,52
6037194200,60
6037194300,88
6037194401,16
6037194402,27
6037194500,31
6037195100,33
6037195201,34
6037195202,36
6037195300,36
6037195400,42
6037195500,45
6037195600,59
6037195710,59
6037195720,67
6037195802,73
6037195803,28
6037195804,32
6037195901,38
6037195902,38
6037195903,44
6037197200,47
6037197300,47
6037197410,49
6037197420,58
6037197500,67
6037197600,73
6037197700,79
6037199000,40
6037199110,47
6037199120,67
6037199201,70
6037199202,82
6037199300,124
6037199400,161
6037199700,15
6037199800,18
6037199900,18
6037201110,19
6037201120,20
6037201200,22
6037201301,22
6037201302,30
6037201401,30
6037201402,33
6037201501,36
6037201503,38
6037201504,45
6037201601,49
6037201602,62
6037201700,21
6037203100,30
6037203200,31
6037203300,34
6037203500,35
6037203600,38
6037203710,41
6037203720,41
6037203800,42
6037203900,47
6037204110,52
6037204120,54
6037204200,33
6037204300,35
6037204410,38
6037204420,39
6037204600,42
6037204700,52
6037204810,64
6037204820,65
6037204910,71
6037204920,93
6037205110,33
6037205120,36
6037206010,42
6037206020,73
6037206031,130
6037206032,12
6037206050,25
6037206200,39
6037206300,46
6037207101,53
6037207102,56
6037207103,57
6037207301,59
6037207302,60
6037207400,72
6037207501,73
