GEO_id2,Veteran_EST
6037101110,97
6037101122,235
6037101210,61
6037101220,85
6037101300,124
6037101400,158
6037102103,104
6037102104,133
6037102105,116
6037102107,183
6037103101,178
6037103102,106
6037103200,291
6037103300,199
6037103400,245
6037104103,236
6037104105,73
6037104108,110
6037104124,281
6037104201,49
6037104203,72
6037104204,125
6037104310,69
6037104320,74
6037104401,14
6037104403,35
6037104404,0
6037104500,15
6037104610,23
6037104620,37
6037104701,34
6037104703,16
6037104704,104
6037104810,64
6037104821,16
6037104822,18
6037106010,166
6037106020,314
6037106111,135
6037106112,229
6037106113,143
6037106114,68
6037106403,94
6037106405,89
6037106406,272
6037106407,110
6037106408,24
6037106510,112
6037106520,135
6037106603,80
6037106604,74
6037106641,101
6037106642,122
6037106643,155
6037106645,165
6037106646,116
6037106648,33
6037106649,77
6037107010,37
6037107020,118
6037108101,49
6037108102,137
6037108103,169
6037108104,48
6037108201,162
6037108202,169
6037109100,107
6037109200,153
6037109300,126
6037109400,114
6037109500,13
6037109601,208
6037109603,108
6037109604,187
6037109700,125
6037109800,102
6037111100,160
6037111201,162
6037111202,255
6037111204,182
6037111205,178
6037111206,187
6037111301,245
6037111302,261
6037111400,372
6037113101,141
6037113102,120
6037113211,99
6037113212,82
6037113213,201
6037113231,98
6037113232,200
6037113233,67
6037113234,133
6037113235,50
6037113237,92
6037113301,172
6037113303,168
6037113321,160
6037113322,198
6037113401,160
6037113421,156
6037113422,206
6037115101,244
6037115103,35
6037115104,128
6037115201,207
6037115202,201
6037115301,237
6037115302,61
6037115401,92
6037115403,121
6037115404,52
6037117101,69
6037117102,62
6037117201,88
6037117202,120
6037117301,120
6037117302,201
6037117303,167
6037117404,44
6037117405,0
6037117407,17
6037117408,67
6037117510,35
6037117520,18
6037117530,61
6037119001,92
6037119002,127
6037119201,63
6037119202,94
6037119310,91
6037119320,55
6037119340,26
6037119341,41
6037119342,20
6037119400,102
6037119700,114
6037119800,135
6037119900,145
6037120010,39
6037120020,29
6037120030,24
6037120103,6
6037120104,27
6037120105,53
6037120106,37
6037120107,8
6037120108,91
6037120300,115
6037120400,104
6037121010,139
6037121020,37
6037121101,61
6037121102,114
6037121210,72
6037121221,53
6037121222,23
6037121600,80
6037121801,90
6037121802,149
6037121900,52
6037122000,178
6037122120,121
6037122121,57
6037122122,40
6037122200,33
6037122410,67
6037122420,44
6037123010,74
6037123020,59
6037123103,53
6037123104,90
6037123203,31
6037123204,16
6037123205,8
6037123206,44
6037123301,56
6037123303,51
6037123304,136
6037123410,79
6037123420,28
6037123510,106
6037123520,57
6037123601,44
6037123602,75
6037123700,82
6037123800,207
6037123901,97
6037123902,37
6037124000,261
6037124102,37
6037124103,26
6037124104,44
6037124105,32
6037124201,154
6037124203,63
6037124204,39
6037124300,55
6037124400,100
6037124500,125
6037124600,93
6037124700,128
6037124902,70
6037124903,120
6037125100,184
6037125200,96
6037125310,60
6037125320,159
6037125401,66
6037125402,116
6037125501,205
6037125502,100
6037125600,60
6037127102,112
6037127103,49
6037127104,80
6037127210,139
6037127220,51
6037127300,114
6037127400,89
6037127520,45
6037127603,35
6037127604,49
6037127605,52
6037127606,93
6037127711,74
6037127712,67
6037127803,61
6037127804,84
6037127805,10
6037127806,36
6037127910,73
6037127920,72
6037128101,53
6037128102,84
6037128210,44
6037128220,44
6037128302,55
6037128303,55
6037128400,102
6037128500,191
6037128601,94
6037128602,97
6037128702,110
6037128801,131
6037128802,153
6037128910,144
6037131010,82
6037131020,117
6037131100,103
6037131200,160
6037131300,102
6037131400,168
6037131600,155
6037131701,104
6037131702,178
6037131800,154
6037131900,175
6037132001,128
6037132002,134
6037132101,162
6037132102,240
6037132300,157
6037132501,103
6037132502,85
6037132700,242
6037132900,117
6037133000,199
6037133100,180
6037134001,20
6037134002,79
6037134101,158
6037134103,168
6037134104,128
6037134201,124
6037134302,133
6037134303,126
6037134304,109
6037134305,22
6037134306,102
6037134421,88
6037134422,228
6037134423,206
6037134424,113
6037134520,37
6037134521,9
6037134522,77
6037134710,90
6037134720,80
6037134800,124
6037134901,103
6037134903,72
6037134904,78
6037134905,48
6037135102,219
6037135111,77
6037135113,131
6037135114,177
6037135201,101
6037135202,97
6037135203,142
6037137000,154
6037137103,226
6037137104,100
6037137201,347
6037137301,92
6037137302,200
6037137401,161
6037137402,419
6037137501,163
6037137502,254
6037137504,77
6037138000,182
6037139001,142
6037139200,107
6037139301,128
6037139302,196
6037139303,83
6037139401,184
6037139402,63
6037139502,64
6037139503,125
6037139504,53
6037139600,121
6037139701,313
6037139702,169
6037139703,94
6037139801,146
6037139802,118
6037141101,125
6037141102,94
6037141201,91
6037141202,72
6037141302,199
6037141303,104
6037141304,62
6037141400,176
6037141500,135
6037141600,110
6037141700,139
6037143100,322
6037143200,106
6037143300,158
6037143400,231
6037143500,66
6037143602,200
6037143603,90
6037143604,109
6037143700,81
6037143800,196
6037143901,89
6037143902,49
6037181000,296
6037181300,123
