GEO_id2,Veteran_Standard_Error
6037104404,0
6037117405,0
6037195804,0
6037208902,0
6037221900,0
6037224020,0
6037226420,0
6037226700,0
6037228410,0
6037228420,0
6037229410,0
6037242100,0
6037265301,0
6037265305,0
6037302201,0
6037320000,0
6037402404,0
6037504102,0
6037532400,0
6037533402,0
6037533501,0
6037533806,0
6037535400,0
6037541500,0
6037575500,0
6037601900,0
6037910811,0
6037980001,0
6037980002,0
6037980003,0
6037980004,0
6037980005,0
6037980006,0
6037980007,0
6037980008,0
6037980009,0
6037980013,0
6037980014,0
6037980018,0
6037980019,0
6037980020,0
6037980021,0
6037980022,0
6037980023,0
6037980025,0
6037980028,0
6037980030,0
6037990100,0
6037990200,0
6037990300,0
6037265304,1.82
6037224200,3.64
6037208302,3.64
6037226410,3.64
6037232800,3.64
6037275101,3.64
6037533002,3.64
6037533106,4.24
6037533202,4.24
6037533703,4.24
6037980026,4.24
6037212305,4.24
6037222700,4.85
6037226001,4.85
6037294120,4.85
6037401901,4.85
6037534403,4.85
6037574601,4.85
6037980024,4.85
6037120103,5.45
6037204200,5.45
6037408202,5.45
6037433305,5.45
6037533902,6.06
6037534804,6.06
6037540101,6.06
6037551600,6.06
6037229100,6.67
6037239330,6.67
6037599100,6.67
6037930101,6.67
6037120107,6.67
6037123205,6.67
6037192420,7.27
6037192620,7.27
6037197700,7.27
6037208801,7.27
6037212204,7.27
6037532604,7.27
6037532800,7.27
6037533502,7.27
6037534406,7.27
6037535607,7.27
6037134521,7.27
6037191720,7.27
6037211320,7.27
6037232120,7.27
6037240700,7.27
6037433304,7.27
6037433306,7.27
6037535702,7.27
6037553702,7.27
6037573300,7.27
6037980010,7.27
6037127805,7.27
6037205110,7.27
6037206032,7.27
6037432802,7.27
6037530902,7.27
6037531202,7.27
6037208301,7.27
6037209103,7.27
6037209104,7.27
6037213320,7.27
6037228100,7.27
6037239701,7.27
6037532603,7.27
6037533103,7.27
6037535604,7.27
6037930200,7.27
6037205120,7.27
6037207400,7.27
6037209820,7.27
6037228900,7.27
6037530204,7.27
6037533805,7.27
6037980033,7.27
6037109500,7.27
6037195903,7.27
6037199800,7.27
6037221602,7.27
6037227010,7.27
6037269907,7.27
6037531102,7.27
6037542000,7.27
6037104401,7.27
6037203300,7.88
6037224010,7.88
6037404701,7.88
6037533203,7.88
6037535200,7.88
6037542105,7.88
6037104500,7.88
6037191204,7.88
6037211202,7.88
6037237102,7.88
6037241400,7.88
6037531503,7.88
6037533105,8.48
6037534802,8.48
6037920303,8.48
6037104703,8.48
6037104821,8.48
6037123204,8.48
6037185320,8.48
6037189905,8.48
6037192510,8.48
6037221110,8.48
6037228310,8.48
6037240010,8.48
6037434003,9.09
6037530700,9.09
6037533104,9.09
6037534102,9.09
6037542601,9.09
6037910403,9.09
6037117407,9.09
6037191203,9.09
6037213202,9.09
6037239202,9.09
6037265410,9.09
6037402501,9.09
6037533401,9.09
6037534301,9.70
6037535501,9.70
6037543202,9.70
6037104822,9.70
6037117520,9.70
6037191301,9.70
6037212202,9.70
6037214400,9.70
6037224320,9.70
6037224700,9.70
6037231900,9.70
6037239501,9.70
6037294830,9.70
6037434004,9.70
6037541400,9.70
6037575300,9.70
6037183402,9.70
6037191810,10.30
6037203710,10.30
6037237500,10.30
6037241110,10.30
6037533201,10.30
6037533702,10.30
6037534405,10.30
6037540502,10.30
6037542106,10.30
6037553701,10.30
6037119342,10.30
6037134001,10.30
6037186301,10.30
6037204700,10.30
6037241300,10.30
6037433504,10.30
6037533403,10.30
6037186401,10.30
6037191610,10.30
6037201503,10.30
6037211310,10.30
6037232110,10.91
6037239801,10.91
6037531302,10.91
6037533300,10.91
6037534001,10.91
6037535503,10.91
6037535605,10.91
6037134305,10.91
6037204110,10.91
6037204810,10.91
6037208502,10.91
6037211704,10.91
6037213201,10.91
6037240600,10.91
6037462202,10.91
6037481714,10.91
6037534203,10.91
6037104610,11.52
6037121222,11.52
6037197420,11.52
6037208501,11.52
6037224420,11.52
6037533503,11.52
6037540400,11.52
6037540901,11.52
6037553801,11.52
6037106408,11.52
6037120030,11.52
6037195720,11.52
6037210010,11.52
6037224310,12.12
6037228720,12.12
6037231710,12.12
6037242600,12.12
6037530901,12.12
6037531101,12.12
6037535603,12.12
6037573401,12.12
6037601501,12.12
6037190802,12.12
6037211922,12.12
6037433503,12.12
6037531604,12.12
6037532700,12.12
6037600912,12.12
6037119340,12.12
6037124103,12.12
6037186404,12.12
6037187200,12.12
6037190100,12.12
6037191620,12.12
6037209403,12.12
6037221820,12.73
6037224410,12.73
6037239320,12.73
6037240200,12.73
6037405002,12.73
6037533701,12.73
6037534302,12.73
6037534404,12.73
6037535102,12.73
6037702501,12.73
6037120104,12.73
6037189904,12.73
6037209200,12.73
6037212102,12.73
6037221710,12.73
6037265303,12.73
6037271200,12.73
6037273600,12.73
6037433302,12.73
6037433403,12.73
6037481713,13.33
6037531602,13.33
6037533107,13.33
6037540201,13.33
6037800331,13.33
6037123420,13.33
6037199900,13.33
6037204410,13.33
6037211410,13.33
6037211804,13.33
6037212800,13.33
6037226002,13.33
6037239201,13.33
6037433501,13.33
6037533601,13.33
6037534002,13.33
6037553503,13.33
6037920011,13.33
6037120020,13.33
6037208402,13.33
6037277400,13.94
6037302004,13.94
6037302202,13.94
6037531701,13.94
6037532500,13.94
6037185203,13.94
6037204920,13.94
6037212303,13.94
6037214800,13.94
6037218600,13.94
6037231210,13.94
6037231220,13.94
6037267501,13.94
6037267502,13.94
6037404803,13.94
6037482503,14.55
6037533001,14.55
6037534202,14.55
6037535502,14.55
6037570203,14.55
6037575202,14.55
6037123203,14.55
6037183520,14.55
6037188202,14.55
6037212304,14.55
6037221220,14.55
6037221810,14.55
6037228220,14.55
6037238320,14.55
6037242200,14.55
6037291120,14.55
6037301502,14.55
6037600602,14.55
6037910101,14.55
6037124105,14.55
6037190401,14.55
6037227020,15.15
6037228320,15.15
6037310501,15.15
6037404302,15.15
6037482303,15.15
6037531603,15.15
6037534900,15.15
