GEO_id2,Civilian_EST_Tot_Pop
6037188300,3101
6037189101,2215
6037189102,2822
6037189201,3282
6037189202,2048
6037189300,2532
6037189400,3057
6037189500,3786
6037189600,3327
6037189701,3182
6037189702,1832
6037189800,3640
6037189902,5088
6037189903,2107
6037189904,2375
6037189905,2118
6037190100,4439
6037190201,2288
6037190202,3237
6037190301,5475
6037190401,2871
6037190402,2309
6037190510,3776
6037190520,3257
6037190700,2811
6037190801,2373
6037190802,2541
6037190901,3671
6037190902,3275
6037191000,3722
6037191110,3557
6037191120,3649
6037191201,3899
6037191203,2150
6037191204,1815
6037191301,2115
6037191302,1887
6037191410,3711
6037191420,3010
6037191500,4758
6037191610,3292
6037191620,2382
6037191710,2239
6037191720,2735
6037191810,2975
6037191820,2634
6037191901,2873
6037191902,2144
6037192001,2172
6037192002,2402
6037192300,2127
6037192410,3345
6037192420,3486
6037192510,3020
6037192520,3653
6037192610,3507
6037192620,2828
6037192700,3280
6037194101,3029
6037194102,2949
6037194200,3026
6037194300,3019
6037194401,2293
6037194402,3481
6037194500,1670
6037195100,4116
6037195201,2810
6037195202,2737
6037195300,3007
6037195400,4129
6037195500,4445
6037195600,2791
6037195710,3505
6037195720,1892
6037195802,2259
6037195803,2405
6037195804,2158
6037195901,1894
6037195902,1695
6037195903,1969
6037197200,3061
6037197300,3498
6037197410,3766
6037197420,3020
6037197500,3178
6037197600,2001
6037197700,4281
6037199000,4166
6037199110,1993
6037199120,3216
6037199201,3001
6037199202,2262
6037199300,2972
6037199400,3560
6037199700,2476
6037199800,4129
6037199900,1991
6037201110,1780
6037201120,2816
6037201200,1908
6037201301,2926
6037201302,3565
6037201401,3679
6037201402,4216
6037201501,4460
6037201503,2346
6037201504,1771
6037201601,1781
6037201602,2351
6037201700,5056
6037203100,3105
6037203200,3540
6037203300,1251
6037203500,2214
6037203600,3728
6037203710,2528
6037203720,2941
6037203800,3348
6037203900,2266
6037204110,2418
6037204120,2142
6037204200,2370
6037204300,3466
6037204410,1433
6037204420,2216
6037204600,2951
6037204700,3894
6037204810,3815
6037204820,1639
6037204910,2552
6037204920,1918
6037205110,2641
6037205120,2443
6037206010,2795
6037206020,8083
6037206031,3363
6037206032,4118
6037206050,1750
6037206200,3396
6037206300,5372
6037207101,3289
6037207102,2207
6037207103,1927
6037207301,4738
6037207302,4432
6037207400,1044
6037207501,2121
6037207502,2796
6037207710,3810
6037207900,4518
6037208000,5977
6037208301,1548
6037208302,3407
6037208401,3451
6037208402,2380
6037208501,1810
6037208502,2843
6037208610,3855
6037208620,3455
6037208710,3828
6037208720,3409
6037208801,2596
6037208802,2743
6037208902,2117
6037208903,3406
6037208904,2992
6037209102,4300
6037209103,2566
6037209104,1794
6037209200,3412
6037209300,3527
6037209401,2949
6037209402,2906
6037209403,2887
6037209510,2190
6037209520,1961
6037209810,2140
6037209820,2082
6037210010,2862
6037211000,3771
6037211120,4939
6037211121,1776
6037211122,2769
6037211201,2362
6037211202,2039
6037211310,3419
6037211320,2587
6037211410,2275
6037211420,2877
6037211500,3349
6037211701,2288
6037211703,3918
6037211704,2489
6037211802,3560
6037211803,3066
6037211804,2769
6037211910,3650
6037211921,1911
6037211922,2685
6037212101,2725
6037212102,1995
6037212202,2810
6037212203,2389
6037212204,2461
6037212303,2726
6037212304,1427
6037212305,2313
6037212306,2383
6037212410,3704
6037212420,2749
6037212501,1730
6037212502,2449
6037212610,3477
6037212620,3472
6037212701,2089
6037212702,3126
6037212800,3158
6037212900,3517
6037213100,2372
6037213201,3442
6037213202,3081
6037213310,3050
6037213320,2022
6037213401,3925
6037213402,3406
6037214000,2642
6037214100,2958
6037214400,2654
6037214501,2330
6037214502,4520
6037214503,2825
6037214600,2226
6037214700,2290
6037214800,2698
6037214901,2886
6037214902,2601
6037215101,2703
6037215102,2920
6037216100,2081
6037216200,4981
6037216300,4118
6037216401,3799
6037216402,2552
6037216700,3082
6037216800,2507
6037216900,4363
6037217001,2081
6037217002,4215
6037217100,5129
6037217200,3209
6037218110,2672
6037218120,3882
6037218210,2809
6037218220,3469
6037218300,4161
6037218400,3428
6037218500,2164
6037218600,2563
