GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Civilian_Stadard_Error,Veteran_EST,Veteran_MOE,Veteran_Standard_Error
6037199800,4129,334,203.04,13,32,7.27
6037221602,2103,183,111.25,13,38,7.27
6037227010,3359,392,238.3,13,39,7.27
6037269907,2639,200,121.58,13,45,7.27
6037531102,2408,221,134.35,13,67,7.27
6037542000,3544,407,247.42,13,73,7.27
6037104401,2678,290,176.29,14,10,7.27
6037203300,1251,184,111.85,14,33,7.88
6037224010,1957,198,120.36,14,38,7.88
6037404701,4239,367,223.1,14,53,7.88
6037533203,1397,146,88.75,14,69,7.88
6037535200,4383,448,272.34,14,71,7.88
6037542105,3301,320,194.53,14,73,7.88
6037104500,2317,312,189.67,15,10,7.88
6037191204,1815,158,96.05,15,30,7.88
6037211202,2039,195,118.54,15,35,7.88
6037237102,2256,204,124.01,15,41,7.88
6037241400,2519,274,166.57,15,42,7.88
6037531503,1864,202,122.8,15,67,7.88
6037533105,1770,244,148.33,15,69,8.48
6037534802,2285,256,155.62,15,70,8.48
6037920303,1334,133,80.85,15,146,8.48
6037104703,1499,204,124.01,16,11,8.48
6037104821,2509,196,119.15,16,12,8.48
6037123204,2401,196,119.15,16,18,8.48
6037185320,2357,230,139.82,16,28,8.48
6037189905,2118,193,117.33,16,29,8.48
6037192510,3020,271,164.74,16,31,8.48
6037221110,2855,373,226.75,16,38,8.48
6037228310,3182,246,149.54,16,39,8.48
6037240010,2524,295,179.33,16,42,8.48
6037434003,3441,361,219.45,16,59,9.09
6037530700,1757,151,91.79,16,67,9.09
6037533104,2868,364,221.28,16,69,9.09
6037534102,4363,303,184.19,16,70,9.09
6037542601,2002,187,113.68,16,74,9.09
6037910403,1228,127,77.2,16,121,9.09
6037117407,2458,194,117.93,17,15,9.09
6037191203,2150,173,105.17,17,30,9.09
6037213202,3081,241,146.5,17,36,9.09
6037239202,3676,419,254.71,17,42,9.09
6037265410,1169,128,77.81,17,44,9.09
6037402501,3950,323,196.35,17,52,9.09
6037533401,3902,261,158.66,17,69,9.09
6037534301,3162,262,159.27,17,70,9.7
6037535501,2653,204,124.01,17,71,9.7
6037543202,3349,397,241.34,17,74,9.7
6037104822,1957,237,144.07,18,12,9.7
6037117520,2797,248,150.76,18,16,9.7
6037191301,2115,191,116.11,18,30,9.7
6037212202,2810,237,144.07,18,35,9.7
6037214400,2654,204,124.01,18,36,9.7
6037224320,2412,245,148.94,18,39,9.7
6037224700,6392,457,277.81,18,39,9.7
6037231900,3717,405,246.2,18,40,9.7
6037239501,2698,223,135.56,18,42,9.7
6037294830,2558,182,110.64,18,47,9.7
6037434004,2078,241,146.5,18,59,9.7
6037541400,4911,603,366.57,18,73,9.7
6037575300,3286,326,198.18,18,84,9.7
6037183402,2544,271,164.74,19,28,9.7
6037191810,2975,379,230.4,19,30,10.3
6037203710,2528,232,141.03,19,33,10.3
6037237500,2005,210,127.66,19,41,10.3
6037241110,2311,252,153.19,19,42,10.3
6037533201,1999,165,100.3,19,69,10.3
6037533702,2670,205,124.62,19,69,10.3
6037534405,2713,201,122.19,19,70,10.3
6037540502,4301,408,248.02,19,72,10.3
6037542106,2425,251,152.58,19,73,10.3
6037553701,2901,213,129.48,19,78,10.3
6037119342,2221,143,86.93,20,16,10.3
6037134001,2895,299,181.76,20,24,10.3
6037186301,2350,234,142.25,20,28,10.3
6037204700,3894,436,265.05,20,33,10.3
6037241300,1855,225,136.78,20,42,10.3
6037433504,3427,424,257.75,20,59,10.3
6037533403,2187,177,107.6,20,69,10.3
6037186401,2616,225,136.78,21,28,10.3
6037191610,3292,334,203.04,21,30,10.3
6037201503,2346,177,107.6,21,33,10.3
6037211310,3419,390,237.08,21,35,10.3
6037232110,2154,211,128.27,21,40,10.91
6037239801,2166,259,157.45,21,42,10.91
6037531302,4864,544,330.7,21,67,10.91
6037533300,2241,194,117.93,21,69,10.91
6037534001,3595,295,179.33,21,70,10.91
6037535503,1764,163,99.09,21,71,10.91
6037535605,3327,327,198.78,21,71,10.91
6037134305,3161,267,162.31,22,24,10.91
6037204110,2418,301,182.98,22,33,10.91
6037204810,3815,388,235.87,22,33,10.91
6037208502,2843,224,136.17,22,34,10.91
6037211704,2489,177,107.6,22,35,10.91
