GEO_id2,Tot_Pop_Standard_Error 
6037104404,108.81
6037117405,136.17
6037195804,151.37
6037208902,139.21
6037221900,177.51
6037224020,138.6
6037226420,226.14
6037226700,351.37
6037228410,156.84
6037228420,161.7
6037229410,151.98
6037242100,93.62
6037265301,343.47
6037265305,284.5
6037302201,139.21
6037320000,7.29
6037402404,149.54
6037504102,6.69
6037532400,10.33
6037533402,173.86
6037533501,125.84
6037533806,185.41
6037535400,162.92
6037541500,314.29
6037575500,14.59
6037601900,190.88
6037910811,60.18
6037980001,7.29
6037980002,7.29
6037980003,7.29
6037980004,7.29
6037980005,7.29
6037980006,7.29
6037980007,7.29
6037980008,24.32
6037980009,4.26
6037980013,7.29
6037980014,7.29
6037980018,7.29
6037980019,25.53
6037980020,7.29
6037980021,5.47
6037980022,7.29
6037980023,7.29
6037980025,7.29
6037980028,7.29
6037980030,7.29
6037990100,7.29
6037990200,7.29
6037990300,7.29
6037265304,234.04
6037224200,131.91
6037208302,170.21
6037226410,127.66
6037232800,153.19
6037275101,60.79
6037533002,104.56
6037533106,79.03
6037533202,110.03
6037533703,171.43
6037980026,7.9
6037212305,84.5
6037222700,285.71
6037226001,124.62
6037294120,103.34
6037401901,236.47
6037534403,100.91
6037574601,148.94
6037980024,43.16
6037120103,157.45
6037204200,147.72
6037408202,104.56
6037433305,220.06
6037533902,113.68
6037534804,144.07
6037540101,186.02
6037551600,7.9
6037229100,181.16
6037239330,108.21
6037599100,62.61
6037930101,12.77
6037120107,129.48
6037123205,102.74
6037192420,231
6037192620,187.23
6037197700,201.22
6037208801,177.51
6037212204,123.4
6037532604,110.03
6037532800,145.29
6037533502,116.72
6037534406,174.47
6037535607,131.31
6037134521,145.9
6037191720,191.49
6037211320,223.1
6037232120,197.57
6037240700,219.45
6037433304,274.77
6037433306,139.82
6037535702,282.67
6037553702,196.35
6037573300,170.21
6037980010,24.92
6037127805,167.17
6037205110,130.09
6037206032,226.75
6037432802,257.14
6037530902,221.88
6037531202,200
6037208301,113.07
6037209103,110.64
6037209104,89.97
6037213320,130.09
6037228100,266.26
6037239701,208.51
6037532603,93.01
6037533103,128.88
6037535604,111.85
6037930200,70.52
6037205120,126.44
6037207400,176.29
6037209820,131.31
6037228900,116.11
6037530204,203.65
6037533805,145.9
6037980033,11.55
6037109500,250.46
6037195903,89.36
6037199800,203.04
6037221602,111.25
6037227010,238.3
6037269907,121.58
6037531102,134.35
6037542000,247.42
6037104401,176.29
6037203300,111.85
6037224010,120.36
6037404701,223.1
6037533203,88.75
6037535200,272.34
6037542105,194.53
6037104500,189.67
6037191204,96.05
6037211202,118.54
6037237102,124.01
6037241400,166.57
6037531503,122.8
6037533105,148.33
6037534802,155.62
6037920303,80.85
