GEO_id2,civ_std_err,tot_pop_std_err,vet_std_err,tot_pop_std_err2
6037500600,86.93,86.93,37.58,86.93
6037242200,87.54,87.54,24.85,87.54
6037134905,88.15,88.15,13.33,88.15
6037533300,88.15,88.15,40.61,88.15
6037119900,88.75,88.75,7.88,88.75
6037293301,88.75,88.75,27.88,88.75
6037119002,89.36,89.36,7.27,89.36
6037216300,89.36,89.36,21.21,89.36
6037274202,89.36,89.36,27.27,89.36
6037301400,89.36,89.36,28.48,89.36
6037533702,89.36,89.36,41.21,89.36
6037650102,89.36,89.36,56.97,89.36
6037115404,89.97,89.97,7.27,89.97
6037141400,89.97,89.97,14.55,89.97
6037207900,89.97,89.97,19.39,89.97
6037214000,89.97,89.97,21.21,89.97
6037433504,89.97,89.97,35.15,89.97
6037139703,90.58,90.58,14.55,90.58
6037296901,90.58,90.58,27.88,90.58
6037311400,90.58,90.58,29.7,90.58
6037480703,90.58,90.58,36.36,90.58
6037501002,90.58,90.58,37.58,90.58
6037501200,90.58,90.58,38.18,90.58
6037570202,90.58,90.58,47.88,90.58
6037577100,90.58,90.58,50.91,90.58
6037403320,91.19,91.19,30.91,91.19
6037433801,91.19,91.19,35.15,91.19
6037533201,91.19,91.19,40.61,91.19
6037121900,91.79,91.79,9.09,91.79
6037139702,91.79,91.79,14.55,91.79
6037462202,91.79,91.79,35.76,91.79
6037531701,91.79,91.79,40,91.79
6037535502,91.79,91.79,42.42,91.79
6037555002,91.79,91.79,47.27,91.79
6037195804,92.4,92.4,17.58,92.4
6037276400,92.4,92.4,27.27,92.4
6037482002,92.4,92.4,36.97,92.4
6037482521,92.4,92.4,37.58,92.4
6037702501,92.4,92.4,61.21,92.4
6037920108,92.4,92.4,78.79,92.4
6037117202,93.01,93.01,7.27,93.01
6037134521,93.01,93.01,13.33,93.01
6037191204,93.01,93.01,16.97,93.01
6037291130,93.01,93.01,27.27,93.01
6037103102,93.62,93.62,1,93.62
6037211410,93.62,93.62,20.61,93.62
6037550201,93.62,93.62,44.85,93.62
6037131900,94.22,94.22,12.12,94.22
6037139302,94.22,94.22,13.94,94.22
6037570800,94.22,94.22,48.48,94.22
6037234502,94.83,94.83,23.64,94.83
6037500500,94.83,94.83,37.58,94.83
6037603900,94.83,94.83,55.15,94.83
6037199201,95.44,95.44,18.18,95.44
6037234300,95.44,95.44,23.64,95.44
6037236000,95.44,95.44,23.64,95.44
6037301702,95.44,95.44,28.48,95.44
6037573201,95.44,95.44,49.7,95.44
6037120103,96.05,96.05,7.88,96.05
6037187200,96.05,96.05,16.36,96.05
6037201501,96.05,96.05,18.79,96.05
6037402200,96.05,96.05,30.3,96.05
6037199110,96.66,96.66,18.18,96.66
6037218210,96.66,96.66,21.82,96.66
6037220000,96.66,96.66,21.82,96.66
6037297110,96.66,96.66,28.48,96.66
6037297400,96.66,96.66,28.48,96.66
6037540502,96.66,96.66,43.03,96.66
6037482201,97.26,97.26,36.97,97.26
6037135201,97.87,97.87,13.33,97.87
6037211704,97.87,97.87,20.61,97.87
6037234901,97.87,97.87,23.64,97.87
6037574800,97.87,97.87,50.3,97.87
6037272100,98.48,98.48,26.67,98.48
6037272302,98.48,98.48,26.67,98.48
6037405701,98.48,98.48,32.12,98.48
6037127104,99.09,99.09,10.91,99.09
6037232200,99.09,99.09,23.64,99.09
6037301100,99.09,99.09,28.48,99.09
6037320300,99.09,99.09,29.7,99.09
6037432902,99.09,99.09,34.55,99.09
6037573403,99.7,99.7,49.7,99.7
6037124105,100.3,100.3,10.3,100.3
6037133100,100.3,100.3,12.73,100.3
6037408202,100.3,100.3,33.33,100.3
6037480303,100.3,100.3,36.36,100.3
6037900606,100.3,100.3,65.45,100.3
6037109100,100.91,100.91,4.85,100.91
6037134720,100.91,100.91,13.33,100.91
6037296401,100.91,100.91,27.88,100.91
6037503703,100.91,100.91,39.39,100.91
6037920016,100.91,100.91,74.55,100.91
6037204700,101.52,101.52,19.39,101.52
6037216200,101.52,101.52,21.21,101.52
6037670701,101.52,101.52,58.79,101.52
6037271802,102.13,102.13,26.67,102.13
6037651222,102.13,102.13,58.18,102.13
6037670405,102.13,102.13,58.79,102.13
6037111301,102.74,102.74,6.67,102.74
6037134800,102.74,102.74,13.33,102.74
6037188300,102.74,102.74,16.36,102.74
6037108201,103.34,103.34,4.85,103.34
6037192001,103.34,103.34,17.58,103.34
6037194401,103.34,103.34,17.58,103.34
6037201120,103.34,103.34,18.18,103.34
6037228420,103.34,103.34,23.03,103.34
6037400800,103.34,103.34,30.3,103.34
6037406602,103.34,103.34,32.12,103.34
6037433305,103.34,103.34,34.55,103.34
6037206031,103.95,103.95,19.39,103.95
6037206032,103.95,103.95,19.39,103.95
6037402002,103.95,103.95,30.3,103.95
6037403801,103.95,103.95,31.52,103.95
6037480600,103.95,103.95,36.36,103.95
6037531502,103.95,103.95,40,103.95
6037543903,103.95,103.95,44.85,103.95
6037106648,104.56,104.56,3.64,104.56
6037109601,104.56,104.56,5.45,104.56
6037403703,104.56,104.56,31.52,104.56
6037122410,105.17,105.17,9.09,105.17
6037141202,105.17,105.17,14.55,105.17
6037189102,105.17,105.17,16.36,105.17
6037191201,105.17,105.17,16.97,105.17
6037212410,105.17,105.17,20.61,105.17
6037231720,105.17,105.17,23.03,105.17
6037480400,105.17,105.17,36.36,105.17
6037570002,105.17,105.17,47.88,105.17
6037800203,105.17,105.17,62.42,105.17
6037143800,105.78,105.78,15.15,105.78
6037219901,105.78,105.78,21.82,105.78
6037273700,105.78,105.78,27.27,105.78
6037408629,105.78,105.78,33.33,105.78
6037432102,105.78,105.78,34.55,105.78
6037543603,105.78,105.78,44.24,105.78
6037190901,106.38,106.38,16.97,106.38
6037212102,106.38,106.38,20.61,106.38
6037501700,106.38,106.38,38.18,106.38
6037531202,106.38,106.38,40,106.38
6037541606,106.38,106.38,43.03,106.38
6037702002,106.38,106.38,60.61,106.38
6037137103,106.99,106.99,13.94,106.99
6037192420,106.99,106.99,17.58,106.99
6037224410,106.99,106.99,22.42,106.99
6037293304,106.99,106.99,27.88,106.99
6037603004,106.99,106.99,54.55,106.99
6037603302,106.99,106.99,54.55,106.99
6037920119,106.99,106.99,81.21,106.99
6037125200,107.6,107.6,10.3,107.6
6037125401,107.6,107.6,10.3,107.6
6037127603,107.6,107.6,10.91,107.6
6037128101,107.6,107.6,11.52,107.6
6037189600,107.6,107.6,16.36,107.6
6037201302,107.6,107.6,18.79,107.6
6037219902,107.6,107.6,21.82,107.6
6037221810,107.6,107.6,21.82,107.6
6037234700,107.6,107.6,23.64,107.6
6037262303,107.6,107.6,25.45,107.6
6037403401,107.6,107.6,30.91,107.6
6037501900,107.6,107.6,38.18,107.6
6037503401,107.6,107.6,38.79,107.6
6037533501,107.6,107.6,40.61,107.6
6037536000,107.6,107.6,42.42,107.6
6037542402,107.6,107.6,43.64,107.6
6037111202,108.21,108.21,6.67,108.21
6037131800,108.21,108.21,12.12,108.21
6037134001,108.21,108.21,12.73,108.21
6037134303,108.21,108.21,12.73,108.21
6037183220,108.21,108.21,15.15,108.21
